"Authors","Author full names","Author(s) ID","Title","Year","Link","EID"
"Sousa E.L.D.; Marques L.A.D.A.; Lima I.D.S.F.D.; Neves A.B.M.; Cunha E.N.; Kreutz M.E.; Neto A.J.V.","Sousa, Ewerton L. de (58548243300); Marques, Leonardo A. de Aquino (58548808500); Lima, Israel da S. Felix de (58548808600); Neves, Ana Beatriz M. (58547966500); Cunha, Eduardo Nogueira (57189387758); Kreutz, Márcio Eduardo (8833771300); Neto, Augusto José V. (35105652600)","58548243300; 58548808500; 58548808600; 58547966500; 57189387758; 8833771300; 35105652600","Development a Low-Cost Wireless Smart Meter with Power Quality Measurement for Smart Grid Applications","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168716286&doi=10.3390%2fs23167210&partnerID=40&md5=3105fd8d1fd8196abda1273125727d9c","2-s2.0-85168716286"
"Mendes D.S.; Silva D.N.N.; Santiago L.E.P.; Gomes V.J.C.; Beasley C.R.; Fernandes M.E.B.","Mendes, Dayene Santiago (58592257000); Silva, Daniel Nobre Nunes (57641802400); Santiago, Luiz Eduardo Pereira (57203996687); Gomes, Vando José Costa (55851161100); Beasley, Colin Robert (7102979728); Fernandes, Marcus Emanuel Barroncas (15845359800)","58592257000; 57641802400; 57203996687; 55851161100; 7102979728; 15845359800","Comprehensive risk assessment of microplastics in tidal channel sediments in amazonian mangroves (northern Brazil)","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198505934&doi=10.1016%2fj.jenvman.2024.121826&partnerID=40&md5=c37e8499e51d5cbadbcfb1934eb7f7b9","2-s2.0-85198505934"
"Thomas L.; Saglia R.; Pasquini L.; Brucalassi A.; Bonifacio P.; De Medeiros J.R.; De Castro Leão I.; Canto Martins B.L.; Lukas Ruh H.; Bedin L.R.; Libralato M.; Biazzo K.","Thomas, Luis (58487755200); Saglia, Roberto (7004160690); Pasquini, Luca (7006771898); Brucalassi, Anna (36636994900); Bonifacio, Piercarlo (8888655800); De Medeiros, José Renan (7006360096); De Castro Leão, Izan (57219757574); Canto Martins, Bruno Leonardo (6504310831); Lukas Ruh, Henrik (59146670200); Bedin, Luigi Rolly (6603009010); Libralato, Mattia (56068258100); Biazzo, Katia (57201131603)","58487755200; 7004160690; 7006771898; 36636994900; 8888655800; 7006360096; 57219757574; 6504310831; 59146670200; 6603009010; 56068258100; 57201131603","Search for giant planets in M 67 V: A warm Jupiter orbiting the turn-off star S1429","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194400270&doi=10.1051%2f0004-6361%2f202449233&partnerID=40&md5=9781dfb1ed36295b70a176e225a5d34a","2-s2.0-85194400270"
"Ciralli B.; Malfatti T.; Lima T.Z.; Silva S.R.B.; Cederroth C.R.; Leao K.E.","Ciralli, Barbara (57222123856); Malfatti, Thawann (57204524582); Lima, Thiago Z (57221460274); Silva, Sérgio Ruschi B (56195404700); Cederroth, Christopher R (9242388300); Leao, Katarina E (14119813100)","57222123856; 57204524582; 57221460274; 56195404700; 9242388300; 14119813100","Alterations of auditory sensory gating in mice with noise-induced tinnitus treated with nicotine and cannabis extract","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174053612&doi=10.1177%2f02698811231200879&partnerID=40&md5=8d3506ee01366555f0cc1734ff5a3c41","2-s2.0-85174053612"
"da Silva T.P.; Batista T.V.; Delicato F.C.; Pires P.F.","da Silva, Thiago Pereira (56732537200); Batista, Thais Vasconcelos (36812228000); Delicato, Flavia Coimbra (55887461400); Pires, Paulo Ferreira (55595376300)","56732537200; 36812228000; 55887461400; 55595376300","An online ensemble method for auto-scaling NFV-based applications in the edge","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191989591&doi=10.1007%2fs10586-024-04465-9&partnerID=40&md5=a268ebc7969cd85c428803888f9f81dc","2-s2.0-85191989591"
"Martello M.F.; Bleuel J.; Pennino M.G.; Longo G.O.","Martello, Melina Ferreira (58995811300); Bleuel, Jessica (57226513944); Pennino, Maria Grazia (40762087900); Longo, Guilherme Ortigara (54979475700)","58995811300; 57226513944; 40762087900; 54979475700","Projected climate-driven shifts in coral distribution indicate tropicalisation of Southwestern Atlantic reefs","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191004335&doi=10.1111%2fddi.13851&partnerID=40&md5=2bb3b1b1ad1f979ea840c412fdd53bdb","2-s2.0-85191004335"
